;YAGO Numpy Array;YAGO Set;WN18RR Numpy Array;WN18RR Set;NELL Numpy Array;NELL Set;
Time per subgraph in seconds;643.529;158.346;19.256;9.676;;37.55;
;693.98;162.817;21.137;9.83;;43.645;
;763.536;191.002;20.293;9.938;;44.754;
;627.618;190.6;20.89;9.98;;56.752;
;634.902;190.708;22.413;10.06;;50.894;
;666.152;193.591;23.984;10.409;;49.946;
;728.203;192.979;26.136;10.852;;49.507;
;716.387;197.678;23.046;10.361;;50.342;
;691.769;193.399;23.845;10.748;;50.888;
;723.257;196.273;22.599;10.555;;50.12;
;;;;;;;
Average in seconds;688.9333;186.7393;22.3599;10.2409;#DIV/0!;48.4398;
Average in minutes;11.48222167;3.112321667;0.372665;0.170681667;#DIV/0!;0.80733;
;;;;;;;
Numpy Array vs Set;100.00%;368.93%;100.00%;218.34%;#DIV/0!;0.00%;
;;;;;;;
Difference in seconds;0;5021.94;0;121.19;0;-484.398;
Difference in minutes;0;83.699;0;2.019833333;0;-8.0733;
Difference in hours;0;1.394983333;0;0.033663889;0;-0.134555;
